1,Decision Support Systems,12,Abacus,898,Academy of Management Journal,948,Academic Exchange Quarterly
2,European Journal of Information Systems,13,Absatzwirtschaft,899,Academy of Management Review,949,Academic Research Reviews
3,Information & Management,14,Academy of Management Annals,900,Accounting,950,Academy of Contemporary Research Journal¬†
4,Information and Organization,15,Academy of Management Journal (AMJ),901,Administrative Science Quarterly,951,ACME Intellects
5,Information Systems Journal,16,Academy of Management Learning & Education,902,American Economic Review,952,Acta ¬†de Gerencia Ciencia
6,Information Systems Research,17,Academy of Management Perspectives,903,Contemporary Accounting Research,953,Acta Advances in Agricultural Sciences
7,Journal of the AIS,18,Academy of Management Review (AMR),904,Econometrica,954,Acta Kinesiologica
8,Journal of Information Technology,19,Accountancy,905,Entrepreneurship Theory and Practice,955,Acta Medica International
9,Journal of MIS,20,Accounting and Business Research,906,Harvard Business Review,956,Acta Scientiae et Intellectus
10,Journal of Strategic Information Systems,21,Accounting and Finance,907,Human Relations,957,Acta Velit
11,MIS Quarterly,22,Accounting and the Public Interest,908,Human Resource Management,958,Adalya Journal
,,23,Accounting Education: An International Journal,909,Information Systems Research,959,Advance Journals of Engineering Mathematics and Computer Sciences
,,24,Accounting Forum,910,Journal of Accounting and Economics,960,Advance Research Journal of Multidisciplinary Discoveries
,,25,Accounting Historians Journal,911,Journal of Accounting Research,961,Advances in Aerospace Science and Technology
,,26,Accounting History,912,Journal of Applied Psychology,962,Advances in Biomedicine and Pharmacy
,,27,"Accounting History Review (fr¸her: Accounting, Business & Financial History)",913,Journal of Business Ethics,963,Advances in Fixed Point Theory
,,28,Accounting Horizons,914,Journal of Business Venturing,964,Advances in Forestry Letter
,,29,Accounting in Europe,915,Journal of Consumer Psychology,965,Advances in Science
,,30,Accounting Perspectives,916,Journal of Consumer Research,966,Aegaeum
,,31,Accounting Research Journal,917,Journal of Finance,967,Afrasian Journal of Humanities and Social Sciences
,,32,Accounting Review,918,Journal of Financial and Quantitative Analysis,968,African Journal of Traditional
,,33,"Accounting, Auditing, & Accountability Journal",919,Journal of Financial Economics,969,Aging
,,34,"Accounting, Economics, and Law ?-- A Convivium",920,Journal of International Business Studies,970,Agrociencia
,,35,"Accounting, Organizations and Society",921,Journal of Management,971,Agrociencia
,,36,ACM Computing Reviews,922,Journal of Management Information Systems,972,AGU International Journal of Engineering & Technology
,,37,ACM Computing Surveys,923,Journal of Management Studies,973,AGU International Journal of Professional Studies & Research
,,38,ACM SIGMIS Database,924,Journal of Marketing,974,AGU International Journal of Research in Social Science & Humanities
,,39,ACM Transactions on Computer-Human Interaction,925,Journal of Marketing Research,975,Ahead International Journal of Recent Research Review
,,40,ACM Transactions on Database Systems,926,Journal of Operations Management,976,Al Ameen Journal of Medical Sciences
,,41,ACM Transactions on Information Systems,927,Journal of Political Economy,977,Aloy Journal of Soft Computing and Applications
