"conference","abbreviation"
"European Conference on Information Systems","ECIS"
"International Conference on Information Systems","ICIS"
"Americas Conference on Information Systems","AMCIS"
"Pacific-Asia Conference on Information Systems","PACIS"
"Hawaii International Conference on System Sciences","HICSS"
"Mediterranean Conference on Information Systems","MCIS"
"UK Academy for Information Systems","UKAIS"
"International Conference on Design Science Research in Information Systems and Technology","DESRIST"
"Australasian Conference on Information Systems","ACIS"
"Bled eConference","BLED"
"International Conference on Electronic Business","ICEB"
"Southern Association for Information Systems Proceedings","SAIS"
