"hash_id","field","from_automated","to_manual"
"0270d6b9d56c831c236e35938bd8cc14a2758acf7d7ae1197449d45037869a67","author","Jose Benitez and   and Gautam Ray and J̦rg Henseler and   and   and","Jose Benitez and and Gautam Ray and J̦rg Henseler and and and"
"05740474a63d3ded744a39be8b0073198944cdd013953663ea8be32e87fc16ff","author","Lidya Agustina and   and Meyliana Meyliana and Se Tin Se Tin and   and","Lidya Agustina and and Meyliana Meyliana and Se Tin Se Tin and and"
"06e9b1db20d03619f15884617caf5a26299b80b618edb9e15e025f5c3544b12d","title","Interface structure and misfit relaxation in {YBa}2
Cu3
O7-$\updelta$
/{PrBa}2
Cu3
O7-$\updelta$
heterostructures on {SrTiO}3
(001) substrates","Interface structure and misfit relaxation in {YBa}2 Cu3 O7-$\updelta$ /{PrBa}2 Cu3 O7-$\updelta$ heterostructures on {SrTiO}3 (001) substrates"
"0b446615c3ef1a6d1e9456055d794ff035eb5704b4e7d99598613ca857a4c65a","author","Gattiker and  Goodhue","Gattiker and Goodhue"
"1649fb5987fce2c3ea9e3499421f54c0fb543b3c602072f4b0f12b117b7d87b0","author","Gattiker and  Goodhue","Gattiker and Goodhue"
"21586e2664f16d9af99c92abf128c0e00d7c8e88c3e80316311f08a9575a26da","author","Imran Muhammad and   and Nilmini Wickramasinghe and","Imran Muhammad and and Nilmini Wickramasinghe and"
"2413ae82d027aca6c11889f9f1ff4a0b11b6dc1fc9a00ce413958c754fb50019","title","Influence of misfit on the occurrence of veneering porcelain fractures (chipping) in implant-supported metal-ceramic fixed dental prostheses: an in~vitro
pilot trial","Influence of misfit on the occurrence of veneering porcelain fractures (chipping) in implant-supported metal-ceramic fixed dental prostheses: an in~vitro pilot trial"
"284f61fef5483249d07f74ab6d7a9e453ffe24e9bac8622da53428c08b2461a7","author","Seddon and  Calvert and  Yang","Seddon and Calvert and Yang"
"287569683c39ad962f850a5284e129464605bc6166647cd9c4c5a6ea7d832bad","author","Chin and  Johnson and  Schwarz","Chin and Johnson and Schwarz"
"2f2d7e99cfd802aae49e3d6a49e3a176d6d834bcb9e2f63f8d49b456f7d1b17d","author","Sharma and  Yetton","Sharma and Yetton"
"3040cca708388b3076f28a1123353a4915bcf2d91631197cd6f167553959229a","author","Shin-Yuan Hung and   and Wei-Hsi Hung and Tsan-Ching Kang and King-Zoo Tang and   and   and","Shin-Yuan Hung and and Wei-Hsi Hung and Tsan-Ching Kang and King-Zoo Tang and and and"
"3d2ec104d950a65e720415db3c72884ed7a5f53d850a20c4d868c669c92f411f","author","Jan Recker and   and Marta Indulska and Peter Green and Andrew Burton-Jones and Ron Weber and   and   and   and","Jan Recker and and Marta Indulska and Peter Green and Andrew Burton-Jones and Ron Weber and and and and"
"43a91bb42a723428b91a3dd154e0e8d8079918a8aeea6a55222f2faa0e2899a1","author","Zheyin (Jane) Gu and   and Giri Kumar Tayi and","Zheyin (Jane) Gu and and Giri Kumar Tayi and"
"4471098f17ed39aec0287004f70c433dc09b7edd332c6a6e4003a09db1ca2c3d","author","David J. C. Lee and   and Michael D. Myers and","David J. C. Lee and and Michael D. Myers and"
"48ee1635ce2593baef4010774a50c54a8b37c0e934e6779ae9a6c98eddfa2c99","author","Iversen and  Mathiassen and  Nielsen","Iversen and Mathiassen and Nielsen"
"493d237c777d3f13939d31e7538e1af8574465cb3772a8a348a755af27648e42","series","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM
SCIENCES","PROCEEDINGS OF THE ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES"
"4f185e28b389a3359d2cd23b79d428fbce4127de0dfa6942a514039c0de977b7","title","Revealing or Non-Revealing:  The Impact of Review Disclosure Policy on Firm Profitability","Revealing or Non-Revealing: The Impact of Review Disclosure Policy on Firm Profitability"
