"citation_key","inclusion_1","inclusion_2","ec_org_level","comment"
"1979","no","NA","NA","-"
"1995","no","NA","NA","-"
"1995a","no","NA","NA","-"
"Abareshi2008","yes","TODO","TODO","-"
"Abasolo2018","no","NA","NA","-"
"Abastanotti1990","no","NA","NA","-"
"Abdalla2017","yes","TODO","TODO","-"
"Abdulrahman2016","yes","TODO","TODO","-"
"Abe2000","no","NA","NA","-"
"Abraham2011","no","NA","NA","-"
"Abrahamsson2001","yes","TODO","TODO","-"
"Abutayeh2018","no","NA","NA","-"
"Adler1940","no","NA","NA","-"
"Affes2019","no","NA","NA","-"
"Agar2014","no","NA","NA","-"
"Agrawal2007","yes","TODO","TODO","-"
"Aguirreurreta2014","no","NA","NA","-"
"Ahlkvist2004","no","NA","NA","-"
"Ahmadi2013","yes","TODO","TODO","-"
"Ahmed2020","no","NA","NA","-"
"Ahuja2016","no","NA","NA","-"
"Aier2011","yes","TODO","TODO","-"
"Aiyenitaju2017","no","NA","NA","-"
"Akmaev2018","no","NA","NA","-"
"Alamro2014","no","NA","NA","-"
"Alanne2014","yes","TODO","TODO","-"
"Alashoor2017","no","NA","NA","-"
"Aldrich2010","no","NA","NA","-"
"Alexandra2019","no","NA","NA","-"
"Alhinai2015","no","NA","NA","-"
"Aliev2020","no","NA","NA","-"
"Aljawder2013","yes","TODO","TODO","-"
"Alkalbani2015","no","NA","NA","-"
"Alkoureiti2016","no","NA","NA","-"
"Allen2013","yes","TODO","TODO","-"
"Alraddadi2018","yes","TODO","TODO","-"
"Alraddadi2018a","yes","TODO","TODO","-"
"Alsulami2014","yes","TODO","TODO","-"
"Alsulami2019","yes","TODO","TODO","-"
"Alt2007","no","NA","NA","-"
"Alter2014","yes","TODO","TODO","-"
"Altinkemer2007","no","NA","NA","-"
"Alvarez1996","no","NA","NA","-"
"Alvarez2014","no","NA","NA","-"
"Amiri2014","no","NA","NA","-"
"Amrollahi2017","no","NA","NA","-"
"Anaya2014","no","NA","NA","-"
"Andres2001","yes","TODO","TODO","-"
"Anja2014","no","NA","NA","-"
"Anokhin2011","no","NA","NA","-"
"Anonymous1980","no","NA","NA","-"
"Antero2012","yes","TODO","TODO","-"
"Aoun2009","yes","TODO","TODO","-"
"Arakelyan2016","no","NA","NA","-"
"Aravkin2014","no","NA","NA","-"
"Arayankalam2020","no","NA","NA","-"
"Arcos2014","no","NA","NA","-"
"Arena2018","no","NA","NA","-"
"Argunova2017","no","NA","NA","-"
"Arif2005","yes","TODO","TODO","-"
"Ariffin2010","no","NA","NA","-"
"Armstrong2018","no","NA","NA","-"
"Arredondo2008","no","NA","NA","-"
"Aslam2012","yes","TODO","TODO","-"
"Assuno2009","no","NA","NA","-"
"Assuno2011","no","NA","NA","-"
"Astebro2011","no","NA","NA","-"
"Atinaf2020","no","NA","NA","-"
"Attfield2011","no","NA","NA","-"
"Au2018","no","NA","NA","-"
"Aubert2007","no","NA","NA","-"
"Avison2008","no","NA","NA","-"
"Avison2008a","yes","TODO","TODO","-"
"Avital2006","no","NA","NA","-"
"Avital2014","no","NA","NA","-"
"Ayyagari2011","no","NA","NA","-"
"Ayyagari2012","no","NA","NA","-"
"Aziz2015","no","NA","NA","-"
"Baaz2011","no","NA","NA","-"
"Bacchi2013","no","NA","NA","-"
"Bacic2018","no","NA","NA","-"
"Bagayogo2013","no","NA","NA","-"
"Bagus2018","no","NA","NA","-"
"Bai2020","no","NA","NA","-"
"Baiyere2017","yes","TODO","TODO","-"
"Bajwa2004","yes","TODO","TODO","-"
"Bala2007","no","NA","NA","-"
"Bala2013","no","NA","NA","-"
"Bandy1996","no","NA","NA","-"
"Bandy1996a","no","NA","NA","-"
"Barata2019","no","NA","NA","-"
"Barry2008","no","NA","NA","-"
"Bartosiak2015","no","NA","NA","-"
"Barua2010","no","NA","NA","-"
"Barua2012","no","NA","NA","-"
"Beaudry2005","no","NA","NA","-"
"Beaudry2020","no","NA","NA","-"
"Becker2012","no","NA","NA","-"
"Becker2017","no","NA","NA","-"
"Becvar1995","no","NA","NA","-"
"Beech2017","no","NA","NA","-"
"Beekhuyzen2002","yes","TODO","TODO","-"
"Beerepoot2018","yes","TODO","TODO","-"
"Beerepoot2019","yes","TODO","TODO","-"
"Beerepoot2019a","yes","TODO","TODO","-"
"Beijsterveld2015","yes","TODO","TODO","-"
"Bekele2019","no","NA","NA","-"
"Ben2005","yes","TODO","TODO","-"
"Benattar2006","no","NA","NA","-"
"Benitezamado2018","no","NA","NA","-"
"Benyahia2018","no","NA","NA","-"
"Berente2012","yes","TODO","TODO","-"
"Berente2019","no","NA","NA","-"
"Bermiss2018","no","NA","NA","-"
"Berro2019","no","NA","NA","-"
"Berthoud2018","no","NA","NA","-"
"Bertram2016","no","NA","NA","-"
"Beverland2006","no","NA","NA","-"
"Bharathan2014","no","NA","NA","-"
"Bhaskar2015","no","NA","NA","-"
"Birkmeier2010","no","NA","NA","-"
"Bkgaard2015","no","NA","NA","-"
"Blandford2002","no","NA","NA","-"
"Bodker2004","no","NA","NA","-"
"Bogodistov2020","no","NA","NA","-"
"Bohorquez2009","yes","TODO","TODO","-"
"Boivin1995","no","NA","NA","-"
"Bonikowski2013","no","NA","NA","-"
"Bonnell2019","no","NA","NA","-"
"Boonstra2014","no","NA","NA","-"
"Boos2012","no","NA","NA","-"
"Borowski2008","no","NA","NA","-"
"Bourdeau2013","no","NA","NA","-"
"Bracke2014","no","NA","NA","-"
"Brainin2008","no","NA","NA","-"
"Branachkallas2017","no","NA","NA","-"
"Braun2002","no","NA","NA","-"
"Bravo2010","no","NA","NA","-"
"Brehm2001","yes","TODO","TODO","-"
"Bremhorst2018","no","NA","NA","-"
"Brigham2010","no","NA","NA","-"
"Brooke2019","no","NA","NA","-"
"Brooks2008","no","NA","NA","-"
"Brown2005","no","NA","NA","-"
"Brown2007","no","NA","NA","-"
"Brown2008","yes","TODO","TODO","-"
"Brown2020","no","NA","NA","-"
"Brownbridge2018","no","NA","NA","-"
"Bruno2003","no","NA","NA","-"
"Buchanan2017","no","NA","NA","-"
"Buck2021","no","NA","NA","-"
"Bui2013","no","NA","NA","-"
"Bulow1998","no","NA","NA","-"
"Bultena2019","no","NA","NA","-"
"Burch2015","no","NA","NA","-"
"Burke2004","no","NA","NA","-"
"Burke2012","no","NA","NA","-"
"Burn1994","no","NA","NA","-"
"Burns2006","no","NA","NA","-"
"Burton2002","no","NA","NA","-"
"Burton2003","no","NA","NA","-"
"Burton2020","no","NA","NA","-"
"Busby1983","no","NA","NA","-"
"Bushell2009","no","NA","NA","-"
"Cacciola2009","no","NA","NA","-"
"Cai2018","no","NA","NA","-"
"Califf2015","no","NA","NA","-"
"Calvert2004","no","NA","NA","-"
"Campagnolo2009","no","NA","NA","-"
"Cao2005","no","NA","NA","-"
"Cao2008","no","NA","NA","-"
"Cao2008a","no","NA","NA","-"
"Cao2010","yes","TODO","TODO","-"
"Cao2013","no","NA","NA","-"
"Carlson2000","no","NA","NA","-"
"Carmody2003","no","NA","NA","-"
"Carroll2006","no","NA","NA","-"
"Carroll2009","no","NA","NA","-"
"Castillooyage2013","no","NA","NA","-"
"Cecezkecmanovic2015","no","NA","NA","-"
"Cecezkecmanovic2015a","no","NA","NA","-"
"Celeste2016","no","NA","NA","-"
"Chadhar2018","yes","TODO","TODO","-"
"Chan1996","no","NA","NA","-"
"Chang2014","no","NA","NA","-"
"Chatzipoulidis2009","no","NA","NA","-"
"Chau2020","no","NA","NA","-"
"Cheikhammar2013","no","NA","NA","-"
"Chen2004","no","NA","NA","-"
"Chen2009","no","NA","NA","-"
"Chen2009a","no","NA","NA","-"
"Chen2012","no","NA","NA","-"
"Chen2014","no","NA","NA","-"
"Chen2015","no","NA","NA","-"
"Chen2019","no","NA","NA","-"
"Chen2021","no","NA","NA","-"
"Cheng2019","no","NA","NA","-"
"Chiang2015","no","NA","NA","-"
"Chilton2001","no","NA","NA","-"
"Chilton2005","no","NA","NA","-"
"Chin2008","no","NA","NA","-"
"Chiplunkar2003","no","NA","NA","-"
"Choi2017","no","NA","NA","-"
"Choudhury2014","no","NA","NA","-"
"Chowdhury2019","no","NA","NA","-"
"Chu2012","no","NA","NA","-"
"Chua2015","no","NA","NA","-"
"Chuenjim1989","no","NA","NA","-"
"Chung2015","no","NA","NA","-"
"Ciborra1997","no","NA","NA","-"
"Ciuba2011","no","NA","NA","-"
"Clarke2001","no","NA","NA","-"
"Clarke2016","no","NA","NA","-"
"Clarke2020","no","NA","NA","-"
"Clemmons2007","no","NA","NA","-"
"Cluskey1997","no","NA","NA","-"
"Cluskey1999","no","NA","NA","-"
"Cobb2014","no","NA","NA","-"
"Cohan2012","no","NA","NA","-"
"Colin2014","no","NA","NA","-"
"Collier2020","no","NA","NA","-"
"Collins2017","yes","TODO","TODO","-"
"Commer2008","no","NA","NA","-"
"Conijn2017","no","NA","NA","-"
"Connor2014","no","NA","NA","-"
